Date nuforc,Time norc,City2,county norc,occupation,Summary
2/1/2025,20:00,Edinburgh,Fife,,"Large, flying, wingless craft spotted over Inverleith Park"
1/1/2025,17:30,,,,"There was one large pulsing light that would disappear and move, then when taking a picture we could see another 3"
31/12/2024,21:33,Dumbarton,Scotland,,Spotted a white light from my lounge window and ran to the front door to record what I was seeing
31/12/2024,19:25,Tornagrain,,,Walking on the farm track. I looked out West and seen a different light than normal in the sky canvas.15 mins then vanished.
30/12/2024,17:28,Wortham,,,Disc shape object with ring of lights in centre with multiple colours changing quickly and moving very quickly.
30/12/2024,06:12,Raunds,Northamptonshire,,Hovering
29/12/2024,21:17,,,,Wasn't there then it was shot up into the sky at a very smooth fast speed came down fast stopped near the ground flew off and vanished
28/12/2024,20:00,NewMill,,,white orb hovering and made a whirring sound
25/12/2024,16:54,Prescot,Merseyside,,"A glowing, orb-like object"
21/12/2024,08:00,Redhill,Surrey,,It was floating in 1 specific location without any movement at all. Within in instant it flew off at a high speed and disappeared
20/12/2024,21:40,,,,"Object appeared into existence with a extreme luminosity,, travelled anti - clockwise for 3 seconds and then vanished"
20/12/2024,20:15,Inverkeilor,,,Orbs and lasers
20/12/2024,19:00,Horsehay,,,White strobe lights moving at pretty high speed red and white flashing all moving at same flight path except a couple
20/12/2024,18:11,Tantobie,,,A flashing orb at first then a craft of some sort appeared straight after with two flashing lights.
20/12/2024,01:40,Newport,South Glamorgan,,I looked down the road as I was waiting for my taxi and I saw a green sphere object glow and shoot off in the sky
19/12/2024,22:53,,,,It flew quite low lower than the airplane near it and it went faster than it then disappeared behind the cloud
19/12/2024,21:59,Cleethorpes,N E Lincolnshire,,"2 sets of lights in 2 triangular type, grey objects"
19/12/2024,05:18,Gaywood,,,Pulsing red light traveling across the sky
18/12/2024,22:30,Sudbury,Suffolk,,"I saw a singular white light that moved in pattern-like motions, and it kept getting very dim and then extremely bright."
18/12/2024,19:36,Digby,,,Two orbs the size of a small car apeared outside a workshop and shot straight up
18/12/2024,11:45,Doncaster,South Yorkshire,,"Huge aircraft moving slowly toward Sheffield, maybe 50 metres in length. Followed by two jets"
17/12/2024,21:20,Thornton Heath,Surrey,,Slowly moved over the rooftops
17/12/2024,01:03,Nottingham,Nottinghamshire,,Walking to car after finishing work and saw something hovering
16/12/2024,17:10,Bicester,Oxfordshire,,"Orb was blinking, also saw a strange drone."
16/12/2024,16:10,Whitefield,,,The small black cylindrical object was floating in the sky about 1km away then sped up and vanished
16/12/2024,13:42,Ardrossan,Ayrshire,,It started to shine so bright then was turning clockwise
16/12/2024,13:00,Ardrossan,Ayrshire,,It started to shine so bright then was turning clockwise
15/12/2024,18:00,Halesowen,West Midlands,,One of the orbs was going bright and normal every 10 seconds and a second sighting was a orb appeared from the sky and shot across
