Date and Time Reported,Date nuforc,Time norc,City,City2,county norc,occupation,Summary
09/22/2007 20:00,22/9/2007,20:00,Keighley (UK/England),Keighley ,#N/A,,UFO's over Keighley UK
09/17/2007 20:38,17/9/2007,20:38,Weston Super Mare (UK/England),Weston Super Mare ,#N/A,,2 very bright objects on same path same speedb
09/16/2007 02:45,16/9/2007,02:45,Loughton (UK/England),Loughton ,#N/A,,Black triangle over Loughton UK
09/15/2007 11:00,15/9/2007,11:00,London (UK/England),London ,#N/A,,8-12 silver objects 3 held a triangle formation through out . with other moving free in and out of visability.
09/15/2007 00:20,15/9/2007,00:20,London (UK/England),London ,#N/A,,My partner and I seen an object with hazy amber/yellow lights which look like a giant jellyfish flying slowly over east London 15/09/07
09/14/2007 14:55,14/9/2007,14:55,Milon Keynes (UK/England),Milon Keynes ,#N/A,,"Bright Orange Orb Milton Keynes, England 14/09/2007"
09/14/2007 04:51,14/9/2007,04:51,North Bristol (UK/England),North Bristol ,#N/A,,Object changes colour and moves at amazing speeds. ((NUFORC Note: Sighting of Venus. PD))
09/13/2007 20:30,13/9/2007,20:30,Somerset (UK/England)k,Somerset k,#N/A,,light with two moving objects no noise was apparent
09/10/2007 22:30,10/9/2007,22:30,Manchester (UK/England),Manchester ,#N/A,,"Line of reds dots over Davyhulme Manchester, England"
09/09/2007 11:00,9/9/2007,11:00,Christchurch (UK/England),Christchurch ,#N/A,,i heard a loud noice and looked out of my window when i saw noticed this square it went round in circles then zoomed off
09/08/2007 22:20,8/9/2007,22:20,London (UK/England),London ,#N/A,,"3 orangey yellow lights in triangle formation, North London NW1"
09/08/2007 22:15,8/9/2007,22:15,Hampshire (UK/England),Hampshire ,#N/A,,15 bright orange lights all travelling at the same speed then they all disappeared
09/07/2007 09:30,7/9/2007,09:30,Dorset (UK/England),Dorset ,#N/A,,Two red orbs-one which drops red fluid to the ground
09/06/2007 19:15,6/9/2007,19:15,Lowestoft (UK/England),Lowestoft ,#N/A,,extreme brightness and shape of light and no sound and fast speed
09/04/2007 18:03,4/9/2007,18:03,Newbridge (Gwent) (UK/Wales),Newbridge  ,#N/A,,sphere flew overhead stopped manouvered at impossible speed changed shape and left at high speed
09/01/2007 20:00,1/9/2007,20:00,Beech (at King's Hill) (UK/England),Beech  ,#N/A,,formation of bright light's in the night sky moving slowly then fading and suddenly moving away at high speed
08/30/2007 01:44,30/8/2007,01:44,Sharldlow (Derby) (UK/England),Sharldlow  ,#N/A,,Shardlow 1:44 AM (Red and white light)
08/29/2007 22:17,29/8/2007,22:17,Chawton (Village of) (UK/England),Chawton  ,#N/A,,White light/object moving across the Night sky
08/28/2007 19:50,28/8/2007,19:50,Liverpool (UK/England),Liverpool ,#N/A,,Bright yellow glowing rectangle.
08/26/2007 18:51,26/8/2007,18:51,Milton Keynes (UK/England),Milton Keynes ,#N/A,,triangle formation changing positions
08/26/2007 03:28,26/8/2007,03:28,Liverpool (UK/England),Liverpool ,#N/A,,Star like object started shining very bright. Then faded in brightness and started moving across the sky.
08/25/2007 21:00,25/8/2007,21:00,Tonbridge (UK/England),Tonbridge ,#N/A,,"Red lights, High altitude Northern Hemisphere August 2007"
08/18/2007 01:00,18/8/2007,01:00,London (UK/England),London ,#N/A,,as above
08/15/2007 00:30,15/8/2007,00:30,Glasgow (UK/Scotland),Glasgow ,#N/A,,Witnessed an orange orb of light that appeared within a few feet of me in my house around 2007.
08/13/2007 01:00,13/8/2007,01:00,Brighton (UK/England),Brighton ,#N/A,,Orbs & 3 Triangles observed 13 minutes filmed on camcorder Brighton Sussex U.K.
08/13/2007 00:16,13/8/2007,00:16,London (UK/England),London ,#N/A,,Black triangle seen briefly in South-East of UK
08/12/2007 00:15,12/8/2007,00:15,Sunderland (UK/England),Sunderland ,#N/A,,two bright moving object over my house
08/11/2007 23:00,11/8/2007,23:00,Bedford (UK/England),Bedford ,#N/A,,2 very fast star like objects darting around then moved very fast in one direction across the sky.
08/11/2007 21:40,11/8/2007,21:40,Oxford (UK/England),Oxford ,#N/A,,strong yellow light moving at speed across sky at a low altitude. Absolutely silent whilst it travelled
08/10/2007 22:50,10/8/2007,22:50,UK/England,UK/England,#N/A,,Formation of 6 or 7 fast star-like objects in the skies above Kent UK.
08/10/2007 21:30,10/8/2007,21:30,Wolverhampton (UK/England),Wolverhampton ,#N/A,,A bright light shooting off at speed
08/10/2007 19:05,10/8/2007,19:05,Accrington (UK/England),Accrington ,#N/A,,"Unknown object / 3 lights, camouflaged when motionless against a clear night sky."
08/08/2007 23:10,8/8/2007,23:10,Swinton (UK/England),Swinton ,#N/A,,ufos over manchester
08/05/2007 22:10,5/8/2007,22:10,Coventry Area (UK/England),Coventry Area ,#N/A,,"An orange light, which looked spherical, passed across the sky SW from Coventry to NE in a corkscrew trajectory then straight line out"
08/05/2007 21:31,5/8/2007,21:31,"Chawton, Hampshire (near Alton) (UK/England)",Chawton,#N/A,,A single Small white light observed moving across night sky at a very high altitude
08/05/2007 00:00,5/8/2007,00:00,Lowestoft (UK/England),Lowestoft ,#N/A,,"Bright light seen moving north east over Lowestoft in Suffolk, England"
08/04/2007 23:15,4/8/2007,23:15,Worthing (UK/England),Worthing ,#N/A,,"Circular light, zig-zagging across the sky"
08/04/2007 15:00,4/8/2007,15:00,"Dorking, Surrey (UK/England)",Dorking,Surrey,,TWO WHITE CIRCULAR OBJECTS MOVING AT HIGH ALTITUDE & SPEED.
07/31/2007 00:00,31/7/2007,00:00,Douglas (Isle of Man) (UK/England),Douglas  ,#N/A,,A ball of green light flying it the sky and then disappeared
07/30/2007 23:30,30/7/2007,23:30,London (UK/England),London ,#N/A,,WHITE SLIT TYPE CRAFT
07/30/2007 12:00,30/7/2007,12:00,UK/England,UK/England,#N/A,,I was watching the McGlaphlin Group on PBS last Sunday. They showed footage of a UFO in Englad viewed by many witnesses. Do you have
07/29/2007 02:40,29/7/2007,02:40,Furness (UK/Scotland),Furness ,#N/A,,((HOAX??)) Cylinder shaped object hovered and then flew across sky leaving trail of light then shot up to orbit .
07/29/2007 01:25,29/7/2007,01:25,Kirkcaldy (UK/Scotland),Kirkcaldy ,#N/A,,unexplained atmospheric conditons
07/26/2007 22:30,26/7/2007,22:30,Stratford (UK/England),Stratford ,#N/A,,five unidentified objects were observed flying in formation after a sepereate craft was seen to approach at speed and a halt
07/25/2007 23:15,25/7/2007,23:15,Hatfield Hertfordshire (UK/England),Hatfield Hertfordshire ,#N/A,,dull red glowing elongated and tapered cylinder silently travelling overhead in a dead straight line.
07/25/2007 22:30,25/7/2007,22:30,Stratford (UK/England),Stratford ,#N/A,,Cluster formation witnessed by Hundreds over Stratford UK.
07/25/2007 00:00,25/7/2007,00:00,Brighton (UK/England),Brighton ,#N/A,,"I need to have an e-mail address for which to send you two photos I took please, after I took the photos the object dissapeared. It was"
07/24/2007 00:00,24/7/2007,00:00,Burgess Hill (UK/England),Burgess Hill ,#N/A,,"Object sighted in sky to the east, near approach to airport, seemed triangular or circular shape when enlarged."
07/22/2007 22:00,22/7/2007,22:00,Rugby (UK/England),Rugby ,#N/A,,Ball of Light with Tail
07/14/2007 23:20,14/7/2007,23:20,Baldock (UK/England),Baldock ,#N/A,,Unexplainable objects glide across the sky.
07/13/2007 18:45,13/7/2007,18:45,Durham (UK/England),Durham ,#N/A,,Metalic object going west to east over HMP frankland at about 5000 feet ( England )
07/10/2007 17:00,10/7/2007,17:00,Gourock (UK/Scotland),Gourock ,#N/A,,"A HUGE SHAPE LEVIATATING AROUND 40,000 FEET IN THE AIR FOR 20 MINUTES AND THEN RISING UP AND DISAPEARING"
07/07/2007 23:10,7/7/2007,23:10,Hartlepool (UK/England),Hartlepool ,#N/A,,Soundless bright light seen over North East coast of England
07/05/2007 17:08,5/7/2007,17:08,UK/England,UK/England,#N/A,,X1 - UO captured on film at 420th of a second while photographing a rainbow. Object moved out of frame in 1/4 of a second.
07/03/2007 23:15,3/7/2007,23:15,Aberdeen (UK/Scotland),Aberdeen ,#N/A,,Circular orange flame came overhead from the west of Aberdeen heading east. It just past when the orange flame went out and the object
06/28/2007 19:30,28/6/2007,19:30,Glastonbury (UK/England),Glastonbury ,#N/A,,Grren sphere with light aura photographed at Glastonbury UK
06/27/2007 22:23,27/6/2007,22:23,Boger (UK/England),Boger ,#N/A,,((HOAX)) that day I was away for school I was going to bed I got up 22.23 my eye saw object
06/23/2007 23:00,23/6/2007,23:00,London (UK/England),London ,#N/A,,i saw some orange lights in the sky
06/22/2007 01:00,22/6/2007,01:00,Lancashire County (UK/England),Lancashire County ,#N/A,,UFO or flying object seen in lancashire!
06/21/2007 22:30,21/6/2007,22:30,Stratford-Upon-Avon (UK/England),Stratford-Upon-Avon ,#N/A,,Strange lights in the sky over pub in Stratford-Upon-Avon
06/16/2007 20:31,16/6/2007,20:31,Birmingham (UK/England),Birmingham ,#N/A,,2min 31 secs video footage of ufo over birmingham uk June 16th 2007
06/14/2007 23:42,14/6/2007,23:42,Edinburgh (UK/Scotland),Edinburgh ,#N/A,,"Bright white circular light seen in Edinburgh, Goldenacre area with a trail of smoke following closely."
06/13/2007 09:17,13/6/2007,09:17,Scunthorpe (UK/England),Scunthorpe ,#N/A,,A green floating unkown object up in the sky
06/08/2007 22:15,8/6/2007,22:15,Grimsby (UK/England),Grimsby ,#N/A,,LIGHT BULB IN THE SKY.
06/08/2007 01:00,8/6/2007,01:00,Llanelli (south Wales) (UK/Wales),Llanelli  ,#N/A,,"A white star-like object flew oddly over Llanelli, South Wales, UK before disappearing."
06/05/2007 03:23,5/6/2007,03:23,Long Eaton (Derbyshire) (UK/England),Long Eaton  ,#N/A,,"A light roughy 6 time the size of a normal satilite, traveling from west to east from Derby to Nottingham."
05/31/2007 11:10,31/5/2007,11:10,UK/England,UK/England,#N/A,,small orange ball seen moving across the sky in lancashire england
05/30/2007 01:07,30/5/2007,01:07,Keele (UK/England),Keele ,#N/A,,"linier craft of four lights, 3 lights close together, one half amile away. moving west over keele."
05/23/2007 15:45,23/5/2007,15:45,Petersfield (UK/England),Petersfield ,#N/A,,This was taken in my back garden with a 30 shot in 5 seconds burst. 2 pictures out of 30 had this object in.
05/22/2007 21:00,22/5/2007,21:00,Ellesmere Port (UK/England),Ellesmere Port ,#N/A,,What shocked us was the movement and the amount of time the object was visible for.
05/21/2007 00:00,21/5/2007,00:00,Oxford (UK/England),Oxford ,#N/A,,cigar rotating from end toend the size of 2jumboes
05/19/2007 23:50,19/5/2007,23:50,London (UK/England),London ,#N/A,,If I had only seen the two lights I would have let it go but the following lights clarified this was maybe a once in a life time moment
05/16/2007 12:00,16/5/2007,12:00,Not Revealed,Not Revealed,#N/A,,"An object so black that it looked like a two dimensional shape; the outline precise, as if drawn with a ruler and compasses. 4' 6"" tall"
05/12/2007 00:00,12/5/2007,00:00,Welwyn Garden City (UK/England),Welwyn Garden City ,#N/A,,10-12 yellow lights above welwyn garden city 12th May 2007
05/11/2007 21:09,11/5/2007,21:09,Croydon (UK/England),Croydon ,#N/A,,There were glowing orange rings of heated metal.
05/05/2007 02:30,5/5/2007,02:30,Inverness (near) (UK/Scotland),Inverness  ,#N/A,,"Coloured light seen in Highlands of Scotland, it hovered, straight up and down and shot away at various angles, returning nearnt b"
05/04/2007 10:00,4/5/2007,10:00,Derbyshire (UK/England),Derbyshire ,#N/A,,Hello The reason for any delay in sending this is what you covered on coast to coast 20/6/2012. The event was seeded in my mind bec
05/01/2007 00:00,1/5/2007,00:00,UK/England,UK/England,#N/A,,'Mile-wide UFO' spotted by British airline pilot
04/29/2007 22:00,29/4/2007,22:00,Lancaster (UK/England).,Lancaster .,#N/A,,ORANGE LIGHT OVER IRISH SEA IN UK. SEEN TO ACCELERATE AWAY
04/28/2007 20:20,28/4/2007,20:20,"Falkirk, Glasgow (UK/Scotland)",Falkirk,Stirlingshire,,12-20 silver discs flying over central scotland
04/23/2007 22:00,23/4/2007,22:00,Derbyshire (UK/England),Derbyshire ,#N/A,,"Amber glow, circular, static,seemed low in the sky to the eye same as a small coin.then sped off."
04/23/2007 00:00,23/4/2007,00:00,Guernsey (UK/England),Guernsey ,#N/A,,Link to report about alleged sighting in the UK.
04/21/2007 22:20,21/4/2007,22:20,Alfreton (UK/England),Alfreton ,#N/A,,"4 fireballs in total, 1st 3 formed triangle...then gradually disappeared...4th hovered in same area before also disappearing."
04/21/2007 21:30,21/4/2007,21:30,Blackpool (UK/England),Blackpool ,#N/A,,"Eight UFO's over Blackpool, England"
04/21/2007 16:30,21/4/2007,16:30,Bridgend (UK/Wales),Bridgend ,#N/A,,daylight sighting of a classic disc type object.
04/20/2007 21:30,20/4/2007,21:30,"Sidcup, Kent (UK/England)",Sidcup,Kent,,50-100 yellow/orange balls flying in groups
04/19/2007 21:30,19/4/2007,21:30,Sidcup (UK/England),Sidcup ,#N/A,,"was alerted by the people who live next door to me via tex message to look out my flat window,saw amber in colour lights about as high"
04/17/2007 15:00,17/4/2007,15:00,Peterborough (UK/England),Peterborough ,#N/A,,"Unexplained whooshing noise (April 17th 2007)- Peterborough, UK"
04/14/2007 02:00,14/4/2007,02:00,London (UK/England),London ,#N/A,,"Various UFO sightings in South East London, UK"
04/12/2007 05:36,12/4/2007,05:36,Birmingham (UK/England),Birmingham ,#N/A,,2 small rectangular objects in the night sky only 3 meters away from me
04/12/2007 00:00,12/4/2007,00:00,Manchester (UK/England),Manchester ,#N/A,,ufo over manchester ((NUFORC Note: Sirius or Venus?? PD))
04/11/2007 21:20,11/4/2007,21:20,Nottingham (UK/England),Nottingham ,#N/A,,two red pulsating lights moving southwards in Nottingham UK
04/09/2007 22:50,9/4/2007,22:50,London (UK/England),London ,#N/A,,flaring ufo chased by helicopters
04/06/2007 22:00,6/4/2007,22:00,Jersey (Channel Islands) (UK/England),Jersey  ,#N/A,,2 UFO's seen at beach
04/04/2007 22:00,4/4/2007,22:00,"Dewsbury, West Yorkshire (UK/England)",Dewsbury,West Yorkshire,,Triangular shaped craft high above West Yorkshire skyline
03/19/2007 18:00,19/3/2007,18:00,Lincolnshire (UK/England),Lincolnshire ,#N/A,,Whilst out playing with my dog the huge bright star i had been obsessing over revealed its true colours!!
03/17/2007 14:28,17/3/2007,14:28,Coventry (UK/England),Coventry ,#N/A,,"SMALL GLINTING OBJECT WITH ""PROPELLERS"" IMAGED IN DIGITAL SLR"
03/15/2007 22:30,15/3/2007,22:30,Leicester (UK/England),Leicester ,#N/A,,Three bright lights moving side to side across the sky
03/15/2007 11:00,15/3/2007,11:00,Leicester (UK/England),Leicester ,#N/A,,moving misty lights I cant explain
03/12/2007 20:30,12/3/2007,20:30,"Lulworth, Dorset (UK/England)",Lulworth,#N/A,,"7 bright whitle lights on the plains of lulworth cove in Dorset, england"
03/12/2007 04:40,12/3/2007,04:40,Edinburgh (UK/Scotland),Edinburgh ,#N/A,,"At around 4.40am 3dec 2007 north northeast, i was heading to work going towards bonnyrigg i stopped at traffic lights at bridge at dalh"
03/11/2007 18:30,11/3/2007,18:30,Warrington (UK/England),Warrington ,#N/A,,traiangle seen over cheshire uk nov 07
03/10/2007 22:00,10/3/2007,22:00,Wolverhampton (UK/England),Wolverhampton ,#N/A,,"small satalite shaped object seen doing turns and curcuits over wolverhampton,10th march 07. ((NUFOR"
03/10/2007 22:00,10/3/2007,22:00,Northamptonshire (UK/England),Northamptonshire ,#N/A,,5 bright orange lights fly in formation
03/09/2007 03:00,9/3/2007,03:00,Stirlingshire (UK/Scotland),Stirlingshire ,#N/A,,Extremely bright white (sometimes greenish) flashes of light blocking house windows. Central Scotland.
03/07/2007 22:45,7/3/2007,22:45,Middlesbrough (UK/England),Middlesbrough ,#N/A,,pink diamond object in sky over middlesbrough
03/04/2007 23:30,4/3/2007,23:30,Lancashire (UK/England),Lancashire ,#N/A,,snake like ufo captured at night
03/03/2007 22:50,3/3/2007,22:50,Moreton Morrell (UK/England),Moreton Morrell ,#N/A,,Red dot in sky on night of lunar eclipse
03/03/2007 16:30,3/3/2007,16:30,London (UK/England),London ,#N/A,,Circle travelling straight for 20 secs then disapears
03/01/2007 12:00,1/3/2007,12:00,Cardiff (UK/Wales),Cardiff ,#N/A,,"Disk shaped craft captured on camera by accident over City Hall in Cardiff, Wales"
02/26/2007 18:30,26/2/2007,18:30,Falkirk (UK/Scotland),Falkirk ,#N/A,,"MY TWO SONS AND THREE FRIENDS SAW A LARGE RED/ORANGE LIGHT IN SKY THAT CIRCLED OVER THEM. THEY TOOK SOME PHOTOS OF IT, AND THEY ARE TO"
02/17/2007 21:00,17/2/2007,21:00,Dumfries (UK/Scotland),Dumfries ,#N/A,,Orange lights in sky
02/15/2007 05:30,15/2/2007,05:30,London,London,Greater London,,We experienced completely out of the ordinary lights and sounds.
02/11/2007 18:00,11/2/2007,18:00,Suffolk/Cambridgeshire/Essex/London (UK/England),Suffolk/Cambridgeshire/Essex/London ,#N/A,,Strange lights and a ring of unexplained fire. ((NUFORC Note: Possible sighting of Venus in the southwest sky?? PD))
02/08/2007 07:20,8/2/2007,07:20,Darlington (UK/England),Darlington ,#N/A,,A flat grey to white saucer shaped craft moving on a slight angle in an easterly direction. North East UK.
02/05/2007 20:42,5/2/2007,20:42,Dumfries (UK/Scotland),Dumfries ,#N/A,,Saw bright orange objects at night in the sky.
02/04/2007 06:05,4/2/2007,06:05,UK/England,UK/England,#N/A,,Bright cigar - shaped object tracked my car for at least 10 minutes on February 4th 2007
02/03/2007 23:00,3/2/2007,23:00,Exeter (UK/England),Exeter ,#N/A,,Approx. 6 red lights in what looked to be a /.\ formation
02/03/2007 20:32,3/2/2007,20:32,Reading (UK/England),Reading ,#N/A,,ufo in reading(uk) 500 Lights On Object0: Yes
02/03/2007 20:20,3/2/2007,20:20,London (UK/England),London ,#N/A,,We were facing a west north western direction and saw a group of lights in a staggered line(two lights were very close to each other a
02/01/2007 17:30,1/2/2007,17:30,London (UK/England),London ,#N/A,,Multiple orange blobs floating with a white plane following.
02/01/2007 00:00,1/2/2007,00:00,Islington (London) (UK/England),Islington  ,#N/A,,"Lights over Islington, London"
01/31/2007 20:15,31/1/2007,20:15,Bushey (UK/England),Bushey ,#N/A,,"Green and white flashing light over Bushey, Hertfordshire, England. has been observed for past 40 mins.. ((NUFORC Note: Sirius?? PD)"
01/30/2007 23:30,30/1/2007,23:30,London (UK/England),London ,#N/A,,"Slow moving bright sphere, 5x as large as star, 10x brighter. Intense white, blue and red. ((NUFORC Note: Sirius sighting. PD))"
01/29/2007 10:08,29/1/2007,10:08,Edinburgh (UK/Scotland),Edinburgh ,#N/A,,"silver, cylinder, no fumes, wings, tail or windows and vanished completely in clear blue skies"
01/28/2007 18:30,28/1/2007,18:30,Kilsyth (UK/England),Kilsyth ,#N/A,,20 lights changing colours above Kilsyth in the United Kingdom 500 Lights On Object0: Yes
01/21/2007 19:30,21/1/2007,19:30,Accrington (UK/England),Accrington ,#N/A,,"Strange aircraft in sky over Lancashire,"
01/20/2007 20:30,20/1/2007,20:30,Ramsey (Isle of Man) (UK/England),Ramsey  ,#N/A,,Round green flashing object
01/20/2007 17:00,20/1/2007,17:00,Durham (UK/England),Durham ,#N/A,,I saw a UFO and it was circle shaped and its colour was like a purple. It left a small trail. It also had flashing lights all over it a
01/12/2007 21:30,12/1/2007,21:30,Bow (near Crediton),Bow ,#N/A,,big ball of light getting closer and bigger we all looked up and it was really bright. it was quite close car alarms set themselves off
01/10/2007 18:12,10/1/2007,18:12,"Helsby, Cheshire (UK/England)",Helsby,#N/A,,A Groupd of Dark objects moving rapidly across the evening sky.
01/07/2007 18:10,7/1/2007,18:10,Lincoln (UK/England),Lincoln ,#N/A,,a medium size light in the sky with smaller lights around it
01/06/2007 22:40,6/1/2007,22:40,Halesowen (UK/England),Halesowen ,#N/A,,6 orange disc like objects came out of the East
01/03/2007 21:00,3/1/2007,21:00,Norton (UK/England),Norton ,#N/A,,want to know of other sightings tonight
01/02/2007 21:24,2/1/2007,21:24,Solihull (UK/England),Solihull ,#N/A,,cigar shape with fourteen blue lights
01/01/2007 19:45,1/1/2007,19:45,Welwyn Garden City (UK/England),Welwyn Garden City ,#N/A,,4 Red lights seen over Welwyn Garden City in Hertfordshire England
01/01/2007 13:40,1/1/2007,13:40,Hainault (on the London/Essex border) (UK/England),Hainault  ,#N/A,,In clear daylight three white lights in triangular formation very high in sky moving eastwards.
12/29/2006 00:53,29/12/2006,00:53,London (UK/England),London ,#N/A,,just a light getting closer and closer then dissapered.
12/28/2006 23:00,28/12/2006,23:00,Nottingham (UK/England),Nottingham ,#N/A,,UK orange sphere
12/27/2006 20:00,27/12/2006,20:00,Bishops Castle (UK/England),Bishops Castle ,#N/A,,Two moon sized orange globes hanging in the sky in countryside above hills which were alongside each other then shot off at speed and d
12/26/2006 19:20,26/12/2006,19:20,Glasgow (UK/Scotland),Glasgow ,#N/A,,Orange pulsing light - moved erratically then went straight up and disappeared.
12/22/2006 18:00,22/12/2006,18:00,Gatwick Airport (UK/England),Gatwick Airport ,#N/A,,Black triangle sighting - via strange white light effects
12/20/2006 23:00,20/12/2006,23:00,Liverpool (UK/England),Liverpool ,#N/A,,A string of light chasing in the sky (Madness)
12/20/2006 00:00,20/12/2006,00:00,Stockport (UK/England),Stockport ,#N/A,,"As I was making my home from some pre-christmas celebrations, I could make out a light above the fog. It was jiggling about at break n"
12/15/2006 17:30,15/12/2006,17:30,"Burslem, Staffordshire (UK/England)",Burslem,#N/A,,ship could be seen in clouds but vanished into open sky?
12/12/2006 23:00,12/12/2006,23:00,Coatbridge (UK/Scotland),Coatbridge ,#N/A,,Double sighting
12/12/2006 18:00,12/12/2006,18:00,Coatbridge (UK/Scotland),Coatbridge ,#N/A,,"Round, bright greem, bright green oval egg shaped shooting upwards into the sky with green mist trail"
12/11/2006 23:15,11/12/2006,23:15,Birmingham (UK/England),Birmingham ,#N/A,,bright light travelling at collosul speed .it seemed about 200yrds from the ground . with whooshing noise.
12/11/2006 22:58,11/12/2006,22:58,Doncaster (UK/England),Doncaster ,#N/A,,"22:58 hours, A bright light traveling 1000s of miles a hour, so low and so quite, going over the horizon , it wasen't a shooting star i"
12/11/2006 22:55,11/12/2006,22:55,Birmingham (UK/England),Birmingham ,#N/A,,"11/12/06, 22.50. Green light,, travelling fast, 5 seconds view over Birmingham UK"
12/11/2006 22:50,11/12/2006,22:50,Birmingham (UK/England),Birmingham ,#N/A,,"Bright blue, white egg shaped light flying very fast and low from right to left of my sight for 2 seconds in Sutton coldfied England."
12/03/2006 20:13,3/12/2006,20:13,Aylesbury (UK/England),Aylesbury ,#N/A,,oval object in aylesbury
11/29/2006 18:00,29/11/2006,18:00,UK/England (unspecified location),UK/England ,#N/A,,"a glowing ball of light fading and coming back, stationary and moving,passing behind trees and past the local tv mast"
11/28/2006 07:05,28/11/2006,07:05,Glan Conwy (UK/England),Glan Conwy ,#N/A,,Sphere full of golden lights with larger flashing golden light in centre travelling at speed & height of helicopter from East to West.
11/26/2006 15:00,26/11/2006,15:00,Llandudno (UK/Wales),Llandudno ,#N/A,,silver cigar shaped craft daylight llanduno north wales
11/25/2006 20:16,25/11/2006,20:16,Stevenage (UK/England),Stevenage ,#N/A,,Mazing
11/25/2006 07:37,25/11/2006,07:37,Nottingham (UK/England),Nottingham ,#N/A,,Flashes Over Nottingham
11/25/2006 02:30,25/11/2006,02:30,Norwich (Norfold) (UK/England),Norwich  ,#N/A,,the 3 discs travelled in a circle and turned to sparks
11/24/2006 17:30,24/11/2006,17:30,London (UK/England),London ,#N/A,,Intense light over East London 24th Novemeber 06
11/24/2006 08:49,24/11/2006,08:49,Kirkcaldy (UK/Scotland),Kirkcaldy ,#N/A,,long white line like shooting star but slow and thicker and same shape viewed from kirkcaldy scotland
11/23/2006 23:20,23/11/2006,23:20,Newcastle (UK/England),Newcastle ,#N/A,,Diamond shape in Sky
11/22/2006 01:25,22/11/2006,01:25,UK/England (in flight),UK/England ,#N/A,,2 flying objects close to England in front of the airplane
11/21/2006 17:00,21/11/2006,17:00,Newmarket (UK/England),Newmarket ,#N/A,,strange interference
11/18/2006 23:30,18/11/2006,23:30,Brighton (UK/England),Brighton ,#N/A,,Four bright lights in a loose formation
11/17/2006 18:25,17/11/2006,18:25,Trowbridge (UK/England),Trowbridge ,#N/A,,U.F.O.sighting in Wiltshire
11/12/2006 20:20,12/11/2006,20:20,London (UK/England),London ,#N/A,,5 cigar shaped objects dancing over the london area !
11/05/2006 19:55,5/11/2006,19:55,Dumfries/Galloway (UK/Scotland),Dumfries/Galloway ,#N/A,,"5TH NOV 2006, BRIGHT BALL OF LIGHT PROCIDED WITH ANOTHER BALL OF LIGHT FOLLOWING OTHER ONE"
11/05/2006 19:15,5/11/2006,19:15,Chesterfield (UK england),Chesterfield ,#N/A,,2 amber coloured lights sighted over claycross in the east midlands in england
11/05/2006 19:10,5/11/2006,19:10,Westbury (UK/England),Westbury ,#N/A,,orange light moving west to east over westbury wilts !
11/04/2006 21:45,4/11/2006,21:45,Coventry (UK/England),Coventry ,#N/A,,line of light UFO
11/04/2006 21:44,4/11/2006,21:44,Coventry (UK/England),Coventry ,#N/A,,Seven orange lights following each other
11/04/2006 20:00,4/11/2006,20:00,Swindon (UK/England),Swindon ,#N/A,,"3 reddish/orange diffused lights in the configuaration of ""an imperial star destroyer"""
11/04/2006 19:56,4/11/2006,19:56,Grimsby (UK/England),Grimsby ,#N/A,,"Driving back from a fireworks display along the A16, which is a poorly lit road, saw 3 objects which looked like candle flames, globula"
11/04/2006 19:00,4/11/2006,19:00,Swindon (UK/England),Swindon ,#N/A,,A shocking and unexplainable sighting - perhaps a major sighting event.
11/04/2006 19:00,4/11/2006,19:00,Swindon (UK/England),Swindon ,#N/A,,"a POSSIBLE major ufo sighting in the Swindon area of wiltshire, UK"
11/01/2006 20:00,1/11/2006,20:00,Doncaster (UK/England),Doncaster ,#N/A,,"Balls of light, apearing zig zagging up and down, growing, shrinking and then disapearing."
10/31/2006 21:59,31/10/2006,21:59,Manchester (UK/England),Manchester ,#N/A,,u.f.o grounds planes over manchester.
10/26/2006 19:45,26/10/2006,19:45,Northampton (UK/England),Northampton ,#N/A,,bright white object travelling accross the sky and in a flash it was gone
10/26/2006 18:03,26/10/2006,18:03,Chawton (near) (UK/England),Chawton  ,#N/A,,Object that gave off Bright Orange/red beam before Completely Dissappearing
10/26/2006 06:30,26/10/2006,06:30,Stoke-on-Trent (UK/England),Stoke-on-Trent ,#N/A,,((HOAX??)) 3 orbs 1 orange 2 white
10/24/2006 21:55,24/10/2006,21:55,Hull (UK/England),Hull ,#N/A,,"3 red lights flying fast in loose triangular formation, Hull, East Yorkshire, UK."
10/24/2006 17:34,24/10/2006,17:34,Rugby Warks (UK/England),Rugby Warks ,#N/A,,"Two bright lights approx size of footballs flying parallel to each other, one slightly higher than the other both lights flickering lik"
10/23/2006 14:15,23/10/2006,14:15,"Wimborne, Dorset (UK/England)",Wimborne,Dorset,,Two silver spheres travelling through the sky.
10/19/2006 11:50,19/10/2006,11:50,London (UK/England),London ,#N/A,,"19/10/06 - Wood Green, London, United Kingdom - Brilliant White pulsating object in the clouds"
10/16/2006 01:30,16/10/2006,01:30,Worksop,Worksop,Nottinghamshire,,2nd sighting of flying saucer.
10/12/2006 14:00,12/10/2006,14:00,Cotswold (Eastleich) (UK/England),Cotswold  ,#N/A,,DISC CRAFT OVER COTSWOLDS UK
10/11/2006 21:20,11/10/2006,21:20,Kidlington (UK/England),Kidlington ,#N/A,,Shape of object wasn't wisible. Light spots shine in triangular shape
10/10/2006 21:47,10/10/2006,21:47,Plymouth (Devonshire) (UK/England),Plymouth  ,#N/A,,they were right above me very small almost like minni stars and they were circling round sommothing and came closer and further away an
